left_entity_type,left_entity_id,right_entity_type,right_entity_id,role,evidence_type,evidence_source,source_line,confidence,allocation_weight,included_in_direct_totals,included_in_rollup_totals,manual_override_state,reviewed_by,reviewed_at,review_method,evidence_note,source_digest,warning_state
commit,b5b4f12719bcc1df96078cbbc79157c47985e637,commit,b5b4f12719bcc1df96078cbbc79157c47985e637,identity,canonical-git-identity,b5b4f12719bcc1df96078cbbc79157c47985e637,,1.0,1.0,False,True,automatic,,,,,,
commit,f80a21a0f9e9c0b21edf1637deb0e07fb89efc1e,commit,f80a21a0f9e9c0b21edf1637deb0e07fb89efc1e,identity,canonical-git-identity,f80a21a0f9e9c0b21edf1637deb0e07fb89efc1e,,1.0,1.0,False,True,automatic,,,,,,
commit,9fea9987c80b7709896d6a46e750b0a0c7925c30,commit,9fea9987c80b7709896d6a46e750b0a0c7925c30,identity,canonical-git-identity,9fea9987c80b7709896d6a46e750b0a0c7925c30,,1.0,1.0,False,True,automatic,,,,,,
commit,a28886ff5fcb92bf016b563a5df7785225f80a77,commit,a28886ff5fcb92bf016b563a5df7785225f80a77,identity,canonical-git-identity,a28886ff5fcb92bf016b563a5df7785225f80a77,,1.0,1.0,False,True,automatic,,,,,,
commit,f400158d420b3d62590a7863231b3f4fe603006b,commit,f400158d420b3d62590a7863231b3f4fe603006b,identity,canonical-git-identity,f400158d420b3d62590a7863231b3f4fe603006b,,1.0,1.0,False,True,automatic,,,,,,
commit,a76f2110c364943a6a2b000cd575807b8f75a6e6,commit,a76f2110c364943a6a2b000cd575807b8f75a6e6,identity,canonical-git-identity,a76f2110c364943a6a2b000cd575807b8f75a6e6,,1.0,1.0,False,True,automatic,,,,,,
commit,6c669809df69c8e7566517df27f84cd4ac85cb37,commit,6c669809df69c8e7566517df27f84cd4ac85cb37,identity,canonical-git-identity,6c669809df69c8e7566517df27f84cd4ac85cb37,,1.0,1.0,False,True,automatic,,,,,,
commit,94e847e6468708e93ad725939b662235d58aaa17,commit,94e847e6468708e93ad725939b662235d58aaa17,identity,canonical-git-identity,94e847e6468708e93ad725939b662235d58aaa17,,1.0,1.0,False,True,automatic,,,,,,
commit,bae266f0f97e4d7e264cc54628bfaf3cc70a78f7,commit,bae266f0f97e4d7e264cc54628bfaf3cc70a78f7,identity,canonical-git-identity,bae266f0f97e4d7e264cc54628bfaf3cc70a78f7,,1.0,1.0,False,True,automatic,,,,,,
commit,27b32d888ac16fcaa31f6735b29d960131a8315c,commit,27b32d888ac16fcaa31f6735b29d960131a8315c,identity,canonical-git-identity,27b32d888ac16fcaa31f6735b29d960131a8315c,,1.0,1.0,False,True,automatic,,,,,,
commit,f7f7e4be43044e840ea69ce6c03d1217b38913ad,commit,f7f7e4be43044e840ea69ce6c03d1217b38913ad,identity,canonical-git-identity,f7f7e4be43044e840ea69ce6c03d1217b38913ad,,1.0,1.0,False,True,automatic,,,,,,
commit,5b61279eb659afad29d7c0e59eac297dc9b0505b,commit,5b61279eb659afad29d7c0e59eac297dc9b0505b,identity,canonical-git-identity,5b61279eb659afad29d7c0e59eac297dc9b0505b,,1.0,1.0,False,True,automatic,,,,,,
commit,004751dd893b3e1b96ba2e42f9a63fc000d75663,commit,004751dd893b3e1b96ba2e42f9a63fc000d75663,identity,canonical-git-identity,004751dd893b3e1b96ba2e42f9a63fc000d75663,,1.0,1.0,False,True,automatic,,,,,,
commit,645232c9f5fdbcd436cd208763553a0f163d3f77,commit,645232c9f5fdbcd436cd208763553a0f163d3f77,identity,canonical-git-identity,645232c9f5fdbcd436cd208763553a0f163d3f77,,1.0,1.0,False,True,automatic,,,,,,
commit,315dd772a284932ebaf5b599e41c6f6dd911a4e4,commit,315dd772a284932ebaf5b599e41c6f6dd911a4e4,identity,canonical-git-identity,315dd772a284932ebaf5b599e41c6f6dd911a4e4,,1.0,1.0,False,True,automatic,,,,,,
